machine_id,timestamp,temperature,vibration,pressure,status_code
M001,2024-05-13T10:57:03Z,66.6,0.10,99.7,AOK
M002,2024-05-13T10:56:59Z,77.8,0.53,99.5,AOK
M003,2024-05-13T10:57:10Z,74.4,0.04,100.8,AOK
M004,2024-05-13T10:57:14Z,84.6,0.28,98.8,AOK
M005,2024-05-13T10:57:12Z,79.2,0.18,100.3,AOK
M006,2024-05-13T10:57:22Z,76.3,0.07,100.7,AOK
M007,2024-05-13T10:57:20Z,68.4,0.08,103.6,AOK
M008,2024-05-13T10:57:06Z,78.5,0.10,99.4,AOK
M009,2024-05-13T10:57:38Z,75.0,0.17,99.5,AOK
M010,2024-05-13T10:57:47Z,75.1,0.08,100.7,AOK
M001,2024-05-13T10:59:00Z,61.5,0.04,99.9,AOK
M002,2024-05-13T10:58:57Z,84.0,0.56,100.6,WARN
M003,2024-05-13T10:59:09Z,76.4,0.15,99.5,AOK
M004,2024-05-13T10:59:07Z,86.0,0.33,98.0,WARN
M005,2024-05-13T10:59:19Z,75.8,0.68,100.0,WARN
M006,2024-05-13T10:59:11Z,78.4,0.07,100.6,AOK
M007,2024-05-13T10:59:34Z,68.5,0.10,103.1,AOK
M008,2024-05-13T10:59:19Z,83.4,0.12,100.1,AOK
M009,2024-05-13T10:59:37Z,74.1,0.19,98.9,AOK
M010,2024-05-13T10:59:45Z,70.7,0.11,99.9,AOK
M001,2024-05-13T10:59:57Z,65.0,0.06,99.9,AOK
M002,2024-05-13T11:00:05Z,80.6,0.55,101.8,WARN
M003,2024-05-13T11:00:03Z,77.2,0.14,100.5,AOK
M004,2024-05-13T11:00:09Z,85.4,0.30,97.6,WARN
M005,2024-05-13T11:00:07Z,76.4,0.17,99.9,AOK
M006,2024-05-13T11:00:18Z,76.6,0.55,100.4,WARN
M007,2024-05-13T11:00:16Z,69.1,0.09,96.9,WARN
M008,2024-05-13T11:00:19Z,80.5,0.13,99.0,AOK
M009,2024-05-13T11:00:41Z,73.5,0.19,99.0,AOK
M010,2024-05-13T11:00:05Z,73.4,0.02,100.4,AOK
M001,2024-05-13T11:02:04Z,68.5,0.02,98.9,AOK
M002,2024-05-13T11:02:03Z,85.5,0.54,101.0,WARN
M003,2024-05-13T11:02:01Z,72.6,0.09,101.8,AOK
M004,2024-05-13T11:02:03Z,86.5,0.25,98.4,WARN
M005,2024-05-13T11:02:20Z,75.8,0.21,100.3,AOK
M006,2024-05-13T11:02:27Z,79.3,0.09,100.5,AOK
M007,2024-05-13T11:02:02Z,69.4,0.10,101.7,AOK
M008,2024-05-13T11:02:32Z,79.0,0.10,100.3,AOK
M009,2024-05-13T11:02:05Z,72.6,0.18,98.5,AOK
M010,2024-05-13T11:02:21Z,74.4,0.08,100.5,AOK
M001,2024-05-13T11:04:05Z,68.7,0.05,99.1,AOK
M002,2024-05-13T11:04:09Z,90.0,0.56,102.1,WARN
M003,2024-05-13T11:04:06Z,75.9,0.17,100.2,AOK
M004,2024-05-13T11:04:00Z,83.8,0.33,99.6,AOK
M005,2024-05-13T11:04:20Z,67.6,0.17,100.0,AOK
M006,2024-05-13T11:04:01Z,79.7,0.06,100.6,AOK
M007,2024-05-13T11:04:15Z,69.5,0.12,102.6,AOK
M008,2024-05-13T11:04:30Z,82.0,0.11,100.6,AOK
M009,2024-05-13T11:04:18Z,74.8,0.92,98.8,CRIT
M010,2024-05-13T11:04:47Z,71.1,0.08,100.7,AOK
M001,2024-05-13T11:05:02Z,67.7,0.07,98.6,AOK
M002,2024-05-13T11:04:56Z,80.8,0.56,106.7,WARN
M003,2024-05-13T11:05:13Z,74.9,0.11,99.0,AOK
M004,2024-05-13T11:05:10Z,85.4,0.30,99.0,WARN
M005,2024-05-13T11:05:04Z,73.9,0.13,100.0,AOK
M006,2024-05-13T11:05:20Z,77.8,0.08,101.1,AOK
M007,2024-05-13T11:05:17Z,69.2,0.10,102.9,AOK
M008,2024-05-13T11:05:40Z,80.1,0.13,99.9,AOK
M009,2024-05-13T11:05:39Z,73.7,0.18,98.8,AOK
M010,2024-05-13T11:05:34Z,69.1,0.01,100.4,AOK
M001,2024-05-13T11:06:59Z,67.3,0.01,99.8,AOK
M002,2024-05-13T11:07:01Z,82.0,0.68,101.0,WARN
M003,2024-05-13T11:07:00Z,73.9,0.16,99.9,AOK
M004,2024-05-13T11:07:12Z,84.4,0.30,98.7,AOK
M005,2024-05-13T11:07:19Z,72.0,0.14,99.1,AOK
M006,2024-05-13T11:07:23Z,79.3,0.07,100.5,AOK
M007,2024-05-13T11:07:11Z,68.0,0.10,101.7,AOK
M008,2024-05-13T11:07:18Z,75.0,0.13,100.1,AOK
M009,2024-05-13T11:07:40Z,74.8,0.19,98.6,AOK
M010,2024-05-13T11:07:19Z,72.5,0.02,100.5,AOK
M001,2024-05-13T11:07:58Z,68.0,0.01,99.3,AOK
M002,2024-05-13T11:08:02Z,76.3,0.56,102.1,WARN
M003,2024-05-13T11:08:09Z,73.3,0.17,99.6,AOK
M004,2024-05-13T11:08:08Z,84.3,0.31,98.4,AOK
M005,2024-05-13T11:08:09Z,79.8,0.19,100.0,AOK
M006,2024-05-13T11:08:06Z,79.7,0.11,100.6,AOK
M007,2024-05-13T11:08:05Z,70.9,0.10,102.0,AOK
M008,2024-05-13T11:08:21Z,77.6,0.11,98.9,AOK
M009,2024-05-13T11:08:14Z,72.0,0.20,98.3,AOK
M010,2024-05-13T11:08:24Z,73.1,0.10,100.6,AOK
M001,2024-05-13T11:10:02Z,67.5,0.01,100.2,AOK
M002,2024-05-13T11:10:07Z,81.7,0.56,101.2,WARN
M003,2024-05-13T11:10:06Z,76.8,0.14,99.4,AOK
M004,2024-05-13T11:09:58Z,84.8,0.34,98.8,AOK
M005,2024-05-13T11:10:10Z,72.9,0.17,100.3,AOK
M006,2024-05-13T11:10:17Z,78.6,0.08,100.8,AOK
M007,2024-05-13T11:10:25Z,64.1,0.09,102.0,AOK
M008,2024-05-13T11:10:24Z,74.4,0.10,100.1,AOK
M009,2024-05-13T11:10:35Z,74.0,0.20,99.1,AOK
M010,2024-05-13T11:10:14Z,69.5,0.01,100.9,AOK
